City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
141,Margate,100,GB,1593858710,66,51.38,1.39,66.99,10.0
142,Marsá Maţrūḩ,0,EG,1593858712,54,31.35,27.25,84.2,10.29
143,Sandnessjøen,20,NO,1593858713,41,66.02,12.63,59.0,6.93
144,Santa Lucía,75,ES,1593858715,69,27.91,-15.54,75.99,32.21
145,Lebu,31,CL,1593858716,81,-37.62,-73.65,46.72,10.67
146,Baykit,6,RU,1593858113,35,61.67,96.37,87.03,8.23
147,Kiryat Gat,0,IL,1593858714,52,31.61,34.76,88.0,10.29
148,Alice Springs,100,AU,1593858662,50,-23.7,133.88,55.4,8.05
149,Tommot,97,RU,1593858724,84,58.96,126.29,58.14,5.68
150,Batemans Bay,42,AU,1593858725,80,-35.72,150.18,46.0,6.69
151,Jiguaní,52,CU,1593858727,100,20.37,-76.43,73.4,4.7
152,Sinop Province,0,TR,1593858728,78,41.77,34.87,80.6,8.05
153,Mehamn,100,NO,1593858730,69,71.04,27.85,54.48,9.86
154,Hualmay,64,PE,1593858731,84,-11.1,-77.61,58.01,3.69
155,Kahului,20,US,1593858733,73,20.89,-156.47,75.2,4.7
156,Thompson,40,CA,1593858734,93,55.74,-97.86,51.8,2.24
157,Tuktoyaktuk,100,CA,1593858736,96,69.45,-133.04,34.52,16.71
158,Santiago de Chuco,100,PE,1593858737,79,-8.15,-78.18,46.62,2.01
159,Arraial do Cabo,75,BR,1593858739,88,-22.97,-42.03,66.2,3.36
160,Vostok,9,RU,1593858740,95,46.49,135.88,63.1,3.76
161,Hithadhoo,99,MV,1593858604,73,-0.6,73.08,85.01,13.18
162,Tabuk,84,PH,1593858693,81,17.42,121.44,79.45,2.82
163,Hong Kong,100,HK,1593858607,74,22.29,114.16,88.0,8.01
164,São Filipe,73,CV,1593858749,81,14.9,-24.5,75.72,9.24
165,Makat,0,KZ,1593858751,13,47.65,53.35,98.1,5.77
166,Huilong,100,CN,1593858502,84,31.81,121.66,75.99,1.99
167,Carutapera,13,BR,1593858754,92,-1.2,-46.02,78.57,6.98
168,Luwuk,59,ID,1593858636,80,-0.95,122.79,77.4,5.28
169,Campbellsville,1,US,1593858759,94,37.34,-85.34,68.0,4.85
170,Mataram,20,ID,1593858760,78,-8.58,116.12,80.6,6.93
171,Souillac,40,MU,1593858762,69,-20.52,57.52,75.2,12.75
172,San Patricio,88,MX,1593858764,79,19.22,-104.7,76.77,3.13
173,Arrondissement de Mende,40,FR,1593858767,55,44.67,3.5,64.4,5.82
174,Kasongo-Lunda,0,CD,1593858769,19,-6.47,16.82,93.52,6.17
175,Saint-François,20,FR,1593858771,52,46.42,3.91,69.8,6.93
176,Riyadh,0,SA,1593858772,11,24.69,46.72,109.4,5.82
177,Tazovsky,99,RU,1593858774,93,67.47,78.7,55.22,14.92
178,Khatanga,0,RU,1593858775,35,71.97,102.5,65.95,13.76
179,Liberal,1,US,1593858659,60,37.04,-100.92,71.6,3.36
180,Shushenskoye,40,RU,1593858763,83,53.33,91.94,69.8,6.71
181,Deputatsky,100,RU,1593858780,91,69.3,139.9,39.79,10.27
182,Rokytne,100,UA,1593858785,61,51.28,27.21,77.2,7.31
183,Daultala,75,PK,1593858786,69,33.19,73.14,77.0,18.34
184,Mergen,6,CN,1593858737,69,49.18,125.22,75.16,8.59
185,Tergnier,90,FR,1593858789,77,49.66,3.3,66.0,17.22
186,Amga,91,RU,1593858791,84,60.9,131.96,60.33,3.13
